trial,rep,variety,yield,grain_protein,test_weight
SWIdahoCereals_H_S_WEI_2018,2,WB7202CLP,26.60993923,NA,61
SWIdahoCereals_H_S_WEI_2018,3,WB7202CLP,25.36558956,NA,60.4
SWIdahoCereals_H_S_WEI_2018,4,WB7202CLP,38.38340156,NA,62.3
SWIdahoCereals_H_S_WEI_2018,1,WB7328,20.19675244,NA,54.4
SWIdahoCereals_H_S_WEI_2018,2,WB7328,31.20446112,NA,59.5
SWIdahoCereals_H_S_WEI_2018,3,WB7328,20.10103323,NA,53.9
SWIdahoCereals_H_S_WEI_2018,4,WB7328,37.80908632,NA,62
SWIdahoCereals_H_S_WEI_2018,1,WB7589,21.1539445,NA,57.1
SWIdahoCereals_H_S_WEI_2018,2,WB7589,22.30257497,NA,58
SWIdahoCereals_H_S_WEI_2018,3,WB7589,30.05583064,NA,61
SWIdahoCereals_H_S_WEI_2018,4,WB7589,39.53203203,NA,62.1
SWIdahoCereals_H_W_PAR_2017,1,Bobtail,125.3556803,NA,59.3
SWIdahoCereals_H_W_PAR_2017,2,Bobtail,113.1874167,NA,65.5
SWIdahoCereals_H_W_PAR_2017,3,Bobtail,171.2811882,NA,58.4
SWIdahoCereals_H_W_PAR_2017,4,Bobtail,148.6120373,NA,56.1
SWIdahoCereals_H_W_PAR_2017,1,Norwest 553,100.5157406,NA,63.3
SWIdahoCereals_H_W_PAR_2017,2,Norwest 553,107.8050306,NA,60.3
SWIdahoCereals_H_W_PAR_2017,3,Norwest 553,128.9621283,NA,63.2
SWIdahoCereals_H_W_PAR_2017,4,Norwest 553,144.2600625,NA,62.2
SWIdahoCereals_H_W_PAR_2017,1,LCS Evina,104.0003522,NA,61.8
SWIdahoCereals_H_W_PAR_2017,2,LCS Evina,115.2842095,NA,60.6
SWIdahoCereals_H_W_PAR_2017,3,LCS Evina,161.2026946,NA,64.3
SWIdahoCereals_H_W_PAR_2017,4,LCS Evina,158.6326529,NA,61.7
SWIdahoCereals_H_W_PAR_2017,1,LCS Jet,120.2186457,NA,61.5
SWIdahoCereals_H_W_PAR_2017,2,LCS Jet,112.5513595,NA,60.3
SWIdahoCereals_H_W_PAR_2017,3,LCS Jet,166.7814098,NA,62.2
SWIdahoCereals_H_W_PAR_2017,4,LCS Jet,124.8909443,NA,59.8
SWIdahoCereals_H_W_PAR_2017,1,NSA10-2196,125.5728208,NA,61.1
SWIdahoCereals_H_W_PAR_2017,2,NSA10-2196,103.035972,NA,64.6
SWIdahoCereals_H_W_PAR_2017,3,NSA10-2196,170.1926249,NA,62.1
SWIdahoCereals_H_W_PAR_2017,4,NSA10-2196,193.4258239,NA,60.9
SWIdahoCereals_H_W_PAR_2017,1,LCS Aymeric,116.2846969,NA,59.3
